,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Brand_Audi,Brand_BMW,Brand_Bentley,Brand_Chevrolet,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_ISUZU,Brand_Isuzu,Brand_Jaguar,Brand_Jeep,Brand_Land,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo
0,-1.098384607697632,0.45587007777087446,0.4381384151117235,2.000974769675755,-1.04830562880744,-1.0289943669950772,-0.3576775450818007,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.48085186945694874,-0.4687475810618229,0.4381384151117235,0.3235322775643148,-0.0695181152110436,0.24407639062458059,-0.3576775450818007,12.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.7825373122667157,-0.3196157006049362,0.4381384151117235,-0.03228885712599124,-0.7114284195045707,-0.45757195462434896,-0.3576775450818007,4.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.46669001683579964,0.9032657191415345,0.4381384151117235,0.5897929905978762,-0.6293041246993936,-0.4564493172719506,2.138774481202568,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,-0.15084272140488353,-0.47859028517197744,-1.8049607180152247,-0.7584544381266146,0.57742020713178,0.517251479708164,-0.3576775450818007,17.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.46669001683579964,0.5453492060450065,0.4381384151117235,0.6696712045079453,-1.3566907358309621,-1.0843778097133927,-0.3576775450818007,2.35,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.15084272140488353,0.9032358927654431,0.4381384151117235,1.1489404879683558,-0.2723148431993381,-0.9365638916476182,-0.3576775450818007,3.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0.7966991648878649,-0.6178794615187095,0.4381384151117235,-1.6879463818074125,1.89643694206391,1.0916675916852874,3.3870004943447523,17.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,-0.15084272140488353,0.23008441075914804,0.4381384151117235,0.534120296054495,-0.04270201894812864,-0.17878367877877444,-0.3576775450818007,5.2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,-0.46669001683579964,0.2748836276483968,-1.8049607180152247,0.9601374369081944,-0.6293041246993936,-0.7326181059619293,-0.3576775450818007,1.95,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
